schrodinger|Schrodinger cat,Schrödinger,DINGER
hemule|Hemule
masya|Masya
tigra|Tigra
toshi|Toshi
quantumcats|Quantum Cats,Quantum Cat
bluecat|Blue Cat Cool Cats,Cool Cats
cryptokitties|CryptoKitties,Dragon kitty,Genesis kitty
hobbes|Hobbes
felicette|Felicette
willard|Willard,FDC Willard
gli|Gli cat,Hagia Sophia cat
tombili|Tombili
simon|Simon ship cat,Able Seacat Simon
towser|Towser
cc|CopyCat,Cloned cat
mrschippy|Mrs Chippy
socks|Socks the cat,Socks Clinton
jock|Jock cat,Churchill cat
stepan|Stepan
felixhudds|Felix station cat,Huddersfield
yontama|Yontama
lisa-leo|Lisa cat Leo,Leo Manoban
luca|Luca Lisa cat,Lisa cat
louis|Louis cat
morrissey|Morrissey cat
didga|Didga
bigthecat|Big the Cat
blaze|Blaze the Cat
felyne|Felyne,Palico
sprigatito|Sprigatito
nekoatsume|Neko Atsume
caitsith|Cait Sith
chococat|Chococat
snagglepuss|Snagglepuss
hank|Hank the cat
minerva|Minerva
humphrey|Humphrey cat
smudge|Smudge cat
pudge|Pudge
oscar|Oscar hospice cat
unsinkablesam|Unsinkable Sam
trim|Trim cat Flinders
faith|Faith church cat
kittypurry|Kitty Purry
dorito|Dorito cat
calippo|Calippo
empresstang|Empress Tang
